Created At,Tweet,TweetLink,RetweetCount,LikeCount,EngagementRate
2022-12-20,b'#G20India | G20 comprises 19 countries and the European Union. \n\nDo you really know what the #G20 is all about? \n\nC\xe2\x80\xa6 https://t.co/VFfmRsr6fH',https://twitter.com/DDNewsLive/status/1605097925364760577,11,33,0.44
2022-12-20,b'#DelhiWeather | Delhi covered in thick blanket of fog for second consecutive day\n\nDense fog to prevail in Delhi-NCR\xe2\x80\xa6 https://t.co/ICQ1IDWEFi',https://twitter.com/DDNewsLive/status/1605095858231382016,8,24,0.32
2022-12-20,b'#G20India | Chief Economic Advisor Anantha Nageswaran explains about the goals and priorities of\xe2\x80\xa6 https://t.co/LtJWc28BlF',https://twitter.com/DDNewsLive/status/1605095658259681281,11,41,0.52
2022-12-20,"b'As part of #GoodGovernanceWeek2022, Union Minister @DrJitendraSingh inaugurated a countrywide program called ""Gover\xe2\x80\xa6 https://t.co/TNYYCrMYuw'",https://twitter.com/DDNewsLive/status/1605089835512840193,6,34,0.4
2022-12-20,"b""#G20India | Spiritual guru @SadhguruJV explains the underlying meaning associated with the @g20org theme 'One Earth\xe2\x80\xa6 https://t.co/ULks4OI0GQ""",https://twitter.com/DDNewsLive/status/1605088357809127424,5,33,0.38
2022-12-20,b'RT @PIBFactCheck: A #YouTube channel \xe2\x80\x98News Headlines\xe2\x80\x99 with almost 10 lakh subscribers and 32 crore views has been found to be propagating #\xe2\x80\xa6',https://twitter.com/DDNewsLive/status/1605085929990893568,191,0,1.91
2022-12-20,b'RT @PIBFactCheck: A YouTube channel \xe2\x80\x98SarkariUpdate\xe2\x80\x99 with over 2.26M subscribers found to be propagating #FakeNews about various schemes of\xe2\x80\xa6',https://twitter.com/DDNewsLive/status/1605085855332175872,115,0,1.15
2022-12-20,"b'RT @PIBFactCheck: YouTube channel \xe2\x80\x9c\xe0\xa4\x86\xe0\xa4\x9c \xe0\xa4\xa4\xe0\xa4\x95 LIVE\xe2\x80\x9d is another den of #FakeNews. With over 65,000 subscribers, the YouTube channel spreads false\xe2\x80\xa6'",https://twitter.com/DDNewsLive/status/1605085739489771520,129,0,1.29
2022-12-20,"b""@g20org @markplynn @FinMinIndia #G20India | 'It is difficult to predict whether the global economy will have recess\xe2\x80\xa6 https://t.co/2OWVAeOUNW""",https://twitter.com/DDNewsLive/status/1605080560728248322,2,5,0.07
2022-12-20,b'#ENGvPAK | England beat Pakistan by 8 wickets in the third test match in Karachi \n\nEngland complete a 3-0 clean swe\xe2\x80\xa6 https://t.co/hMVcyDgq66',https://twitter.com/DDNewsLive/status/1605080223254355968,7,49,0.56
